author_key,author_name,orcid,n_papers,first_use,last_use
orcid:0000-0002-2448-9088,Stephen C. Van Hedger,0000-0002-2448-9088,34,2016-07-06,2026-03-28
orcid:0000-0002-2619-8225,Senne Braem,0000-0002-2619-8225,25,2020-11-06,2026-01-27
orcid:0000-0003-1240-3598,Joshua K. Hartshorne,0000-0003-1240-3598,24,2017-05-04,2025-01-01
orcid:0000-0003-0233-4891,Stephen M. Fleming,0000-0003-0233-4891,23,2018-12-01,2026-06-09
orcid:0000-0001-8950-9601,Ian Grant Mackenzie,0000-0001-8950-9601,22,2021-10-01,2026-02-01
orcid:0000-0002-7400-0789,Barbara Kaup,0000-0002-7400-0789,21,2021-02-12,2025-09-08
orcid:0000-0002-1737-6296,Jennifer Culbertson,0000-0002-1737-6296,20,2020-08-03,2026-04-16
orcid:0000-0002-3500-9182,Zhang Chen,0000-0002-3500-9182,20,2019-08-20,2025-10-08
orcid:0000-0002-6496-1340,Simon Kirby,0000-0002-6496-1340,20,2021-01-01,2026-04-16
orcid:0000-0002-8620-5685,Teodóra Vékony,0000-0002-8620-5685,20,2022-05-05,2026-06-22
orcid:0000-0002-9629-5856,Dezső Németh,0000-0002-9629-5856,20,2022-05-05,2026-02-24
orcid:0000-0003-4815-2364,Joshua R. de Leeuw,0000-0003-4815-2364,20,2014-01-01,2025-10-10
orcid:0000-0002-3364-4019,Marcel Braß,0000-0002-3364-4019,18,2019-07-03,2025-04-16
orcid:0000-0002-7958-0719,Frederick Verbruggen,0000-0002-7958-0719,18,2020-01-17,2025-04-16
orcid:0000-0002-9529-2215,Georg Halbeisen,0000-0002-9529-2215,18,2021-09-01,2026-07-09
orcid:0000-0003-4253-2008,Jessica C. Lee,0000-0003-4253-2008,18,2019-10-03,2025-12-06
orcid:0000-0001-6608-9026,Daniel Bennett,0000-0001-6608-9026,17,2021-04-12,2026-01-13
orcid:0000-0002-7961-5002,Tijl Grootswagers,0000-0002-7961-5002,17,2019-05-10,2025-05-29
orcid:0000-0001-5029-1430,Nathaniel D. Daw,0000-0001-5029-1430,16,2019-07-24,2026-02-05
orcid:0000-0001-7370-7152,Luc Vermeylen,0000-0001-7370-7152,16,2020-01-17,2025-07-03
orcid:0000-0002-4026-7303,Marius V. Peelen,0000-0002-4026-7303,16,2021-11-10,2025-11-20
orcid:0000-0003-1898-205X,Ben R. Newell,0000-0003-1898-205X,16,2019-07-25,2026-05-26
orcid:0000-0002-5138-7255,Thomas L. Griffiths,0000-0002-5138-7255,15,2017-07-25,2026-04-02
orcid:0000-0002-5265-2559,Dobromir Rahnev,0000-0002-5265-2559,15,2017-09-15,2026-04-16
orcid:0000-0003-2146-9054,Peter F. Lovibond,0000-0003-2146-9054,15,2019-10-03,2025-08-22
orcid:0000-0001-5429-089X,Adam F Osth,0000-0001-5429-089X,14,2019-04-01,2025-09-23
orcid:0000-0002-1092-8019,David Dignath,0000-0002-1092-8019,14,2018-07-01,2026-01-09
orcid:0000-0002-1529-0114,Victor Mittelstädt,0000-0002-1529-0114,14,2022-08-05,2025-06-18
orcid:0000-0002-2069-0024,Georgios Paslakis,0000-0002-2069-0024,14,2022-08-13,2026-07-09
orcid:0000-0003-2239-0778,Matthew H. Davis,0000-0003-2239-0778,14,2018-01-03,2026-03-19
orcid:0000-0003-4043-5992,Emiel Cracco,0000-0003-4043-5992,14,2019-07-03,2025-01-30
orcid:0000-0001-5564-010X,Andrea Kiesel,0000-0001-5564-010X,13,2021-01-01,2025-07-10
orcid:0000-0002-4530-6914,Kenny Smith,0000-0002-4530-6914,13,2022-05-11,2026-01-08
orcid:0000-0002-5097-6613,Tobias Rieger,0000-0002-5097-6613,13,2022-03-08,2026-05-28
orcid:0000-0002-9162-0779,Tobias Gerstenberg,0000-0002-9162-0779,13,2021-07-14,2026-05-06
orcid:0000-0002-9205-6786,Fritz Günther,0000-0002-9205-6786,13,2020-01-14,2026-05-27
orcid:0000-0001-8357-8358,Robert L. Goldstone,0000-0001-8357-8358,12,2013-01-01,2022-07-25
orcid:0000-0002-0150-8776,Nicolas W. Schuck,0000-0002-0150-8776,12,2024-01-24,2026-02-10
orcid:0000-0002-0978-9496,Justin Sulik,0000-0002-0978-9496,12,2020-02-26,2025-04-11
orcid:0000-0002-6560-1451,Deniz Başkent,0000-0002-6560-1451,12,2022-05-18,2026-02-18
orcid:0000-0002-7101-0148,Hartmut Leuthold,0000-0002-7101-0148,12,2021-10-21,2026-02-01
orcid:0000-0002-7783-4754,Tom Verguts,0000-0002-7783-4754,12,2022-07-21,2025-10-02
orcid:0000-0002-8999-574X,Quentin J. M. Huys,0000-0002-8999-574X,12,2020-09-28,2026-01-13
orcid:0000-0002-9467-2726,Marine Rougier,0000-0002-9467-2726,12,2021-01-01,2026-07-02
orcid:0000-0003-3088-0371,Eric Schulz,0000-0003-3088-0371,12,2018-11-28,2025-07-28
orcid:0000-0003-3381-8688,Salvador Mascarenhas,0000-0003-3381-8688,12,2019-01-01,2026-01-01
orcid:0000-0001-5800-9401,Hannah Dames,0000-0001-5800-9401,11,2021-10-18,2026-01-01
orcid:0000-0001-6040-1939,Markus Spitzer,0000-0001-6040-1939,11,2021-07-12,2026-01-09
orcid:0000-0001-6362-3043,Björn Herrmann,0000-0001-6362-3043,11,2021-09-13,2025-04-15
orcid:0000-0002-0461-9850,Hedderik van Rijn,0000-0002-0461-9850,11,2020-06-30,2026-05-29
orcid:0000-0002-0712-2639,Richard N. Henson,0000-0002-0712-2639,11,2019-03-19,2025-09-06
orcid:0000-0002-1873-1472,Giulio Contemori,0000-0002-1873-1472,11,2022-08-04,2025-11-30
orcid:0000-0002-2215-8533,Nazbanou Nozari,0000-0002-2215-8533,11,2018-01-01,2025-10-09
orcid:0000-0002-5145-5502,Mike E. Le Pelley,0000-0002-5145-5502,11,2018-08-24,2024-01-01
orcid:0000-0002-5496-3748,Kyoshiro Sasaki,0000-0002-5496-3748,11,2019-12-20,2026-03-12
orcid:0000-0002-9281-3417,Camilla L. Nord,0000-0002-9281-3417,11,2022-03-17,2025-06-16
orcid:0000-0002-9400-7718,Samuel A. Mehr,0000-0002-9400-7718,11,2018-11-21,2026-03-19
orcid:0000-0003-3476-1839,Peter Dayan,0000-0003-3476-1839,11,2019-03-08,2025-07-22
orcid:0000-0003-4239-4960,Daphna Shohamy,0000-0003-4239-4960,11,2020-11-11,2026-03-27
orcid:0009-0000-5230-5525,Bianka Brezóczki,0009-0000-5230-5525,11,2023-05-05,2026-06-22
orcid:0000-0001-5839-651X,Joan Danielle K. Ongchoco,0000-0001-5839-651X,10,2022-04-27,2026-02-01
orcid:0000-0001-9423-1261,Charlotte Eben,0000-0001-9423-1261,10,2019-08-20,2024-02-03
orcid:0000-0001-9982-4701,Florian Sense,0000-0001-9982-4701,10,2020-06-30,2026-05-29
orcid:0000-0002-2002-2210,Michael N. Shadlen,0000-0002-2002-2210,10,2020-10-16,2026-03-27
orcid:0000-0002-5428-6994,Yoann Julliard,0000-0002-5428-6994,10,2021-01-01,2026-07-02
orcid:0000-0002-7041-7798,Carolin Dudschig,0000-0002-7041-7798,10,2021-07-01,2024-05-09
orcid:0000-0002-7087-3697,Marc G. Berman,0000-0002-7087-3697,10,2018-07-13,2025-04-25
orcid:0000-0002-7281-7816,Wim Notebaert,0000-0002-7281-7816,10,2022-02-16,2025-07-03
orcid:0000-0002-8896-639X,Sebastian Musslick,0000-0002-8896-639X,10,2020-10-20,2026-01-01
orcid:0000-0002-9302-6706,Michelle M. Ramey,0000-0002-9302-6706,10,2021-10-25,2026-05-12
orcid:0000-0003-0467-7361,Martin S. Lehe,0000-0003-0467-7361,10,2024-12-05,2026-05-11
orcid:0000-0003-0553-6827,Cédric Batailler,0000-0003-0553-6827,10,2021-01-01,2026-07-02
orcid:0000-0003-1431-568X,Yuki Yamada,0000-0003-1431-568X,10,2019-01-01,2025-01-01
orcid:0000-0003-1815-5054,Bence Csaba Farkas,0000-0003-1815-5054,10,2023-05-05,2026-02-24
orcid:0000-0003-2011-2790,Daniel M. Wolpert,0000-0003-2011-2790,10,2020-10-16,2024-04-26
orcid:0000-0003-4574-7792,Rebecca A. Gilbert,0000-0003-4574-7792,10,2018-01-03,2023-05-11
orcid:0000-0001-5013-6983,Kushin Mukherjee,0000-0001-5013-6983,9,2019-01-01,2026-06-24
orcid:0000-0001-6322-4392,Oliver Genschow,0000-0001-6322-4392,9,2020-03-31,2025-01-30
orcid:0000-0001-6755-0259,Russell A. Poldrack,0000-0001-6755-0259,9,2016-04-26,2024-07-20
orcid:0000-0002-0178-6207,Gaën Plancher,0000-0002-0178-6207,9,2023-01-01,2026-02-18
orcid:0000-0002-2138-9807,Kyoung Whan Choe,0000-0002-2138-9807,9,2019-05-20,2025-11-20
orcid:0000-0002-2941-2653,Christopher Summerfield,0000-0002-2941-2653,9,2023-03-27,2026-02-05
orcid:0000-0002-3414-2838,Younes Strittmatter,0000-0002-3414-2838,9,2021-07-12,2026-01-01
orcid:0000-0002-3792-7745,Alexander Leslie Anwyl-Irvine,0000-0002-3792-7745,9,2018-10-13,2021-09-29
orcid:0000-0002-4119-8389,Tina Seabrooke,0000-0002-4119-8389,9,2021-09-17,2025-04-24
orcid:0000-0002-5905-8405,Genevieve L. Quek,0000-0002-5905-8405,9,2022-04-21,2025-11-20
orcid:0000-0002-6546-3298,Samuel J. Gershman,0000-0002-6546-3298,9,2019-04-03,2026-05-15
orcid:0000-0002-7970-1541,Johan Wagemans,0000-0002-7970-1541,9,2022-01-14,2026-07-13
orcid:0000-0002-8532-9950,Svetlana Pinet,0000-0002-8532-9950,9,2016-06-01,2025-11-25
orcid:0000-0002-8988-8960,Jake Ryan Embrey,0000-0002-8988-8960,9,2021-02-03,2024-07-16
orcid:0000-0003-0184-163X,David Poeppel,0000-0003-0184-163X,9,2023-05-01,2025-10-10
orcid:0000-0003-2057-9606,Isaac Kinley,0000-0003-2057-9606,9,2021-05-27,2025-07-30
orcid:0000-0003-2701-5045,Clara D. Martin,0000-0003-2701-5045,9,2023-01-12,2026-07-13
orcid:0000-0003-3610-0890,Brian J. Scholl,0000-0003-3610-0890,9,2022-04-27,2025-12-21
orcid:0000-0003-3902-7318,Klaus Oberauer,0000-0003-3902-7318,9,2021-10-18,2026-01-01
orcid:0000-0003-4803-0367,Andy J. Wills,0000-0003-4803-0367,9,2022-12-07,2025-08-05
name:dominique muller,Dominique Muller,,8,2021-01-01,2026-07-02
name:lauren skorb,Lauren Skorb,,8,2017-05-04,2022-06-23
orcid:0000-0001-5772-2061,Manuel Varlet,0000-0001-5772-2061,8,2022-01-28,2025-05-29
orcid:0000-0001-8267-3898,Sara Z. Mehrhof,0000-0001-8267-3898,8,2022-03-17,2025-06-16
orcid:0000-0001-8441-7433,Gary Lupyan,0000-0001-8441-7433,8,2018-03-02,2024-06-18
orcid:0000-0001-9113-1222,Courtney B. Hilton,0000-0001-9113-1222,8,2020-04-11,2026-03-19
orcid:0000-0001-9356-761X,Raymond J. Dolan,0000-0001-9356-761X,8,2018-12-01,2024-03-27
orcid:0000-0001-9431-3136,Ophélia Deroy,0000-0001-9431-3136,8,2021-03-04,2025-04-11
