institution_key,institution_name,ror,country,n_papers,n_authors,first_use,last_use
ror:02jx3x895,University College London,02jx3x895,GB,75,96,2016-03-31,2026-06-17
ror:02feahw73,Centre National de la Recherche Scientifique,02feahw73,FR,72,111,2016-07-13,2026-06-22
ror:03a1kwz48,University of Tübingen,03a1kwz48,DE,72,72,2018-07-01,2026-03-11
ror:00cv9y106,Ghent University,00cv9y106,BE,62,70,2019-06-26,2026-05-27
ror:00hx57361,Princeton University,00hx57361,US,61,70,2018-03-02,2026-04-04
ror:013meh722,University of Cambridge,013meh722,GB,53,84,2017-11-21,2026-07-06
ror:03r8z3t63,UNSW Sydney,03r8z3t63,AU,50,47,2018-08-24,2026-05-26
ror:052gg0110,University of Oxford,052gg0110,GB,50,65,2015-07-23,2026-06-26
ror:01nrxwf90,University of Edinburgh,01nrxwf90,GB,46,54,2017-02-15,2026-04-16
ror:03dbr7087,University of Toronto,03dbr7087,CA,43,49,2017-08-17,2026-06-10
ror:00f54p054,Stanford University,00f54p054,US,41,73,2016-04-26,2026-05-20
ror:01hcx6992,Humboldt-Universität zu Berlin,01hcx6992,DE,41,46,2020-11-01,2026-05-27
ror:02vjkv261,Inserm,02vjkv261,FR,40,53,2020-07-31,2026-06-22
ror:024mw5h28,University of Chicago,024mw5h28,US,39,43,2016-07-06,2026-03-06
ror:03v76x132,Yale University,03v76x132,US,37,43,2018-12-16,2026-04-29
ror:02crff812,University of Zurich,02crff812,CH,36,42,2019-09-17,2026-05-15
ror:03vek6s52,Harvard University,03vek6s52,US,36,64,2016-02-04,2026-05-15
ror:01ej9dk98,The University of Melbourne,01ej9dk98,AU,34,49,2019-01-01,2026-05-27
ror:02grkyz14,Western University,02grkyz14,CA,33,39,2020-11-23,2026-03-28
ror:012p63287,University of Groningen,012p63287,NL,32,42,2018-04-25,2026-05-29
ror:016xsfp80,Radboud University Nijmegen,016xsfp80,NL,32,64,2016-12-07,2026-05-20
ror:0190ak572,New York University,0190ak572,US,32,44,2017-10-01,2026-06-26
ror:055bpw879,MRC Cognition and Brain Sciences Unit,055bpw879,GB,32,45,2018-01-03,2026-03-19
ror:01pxwe438,McGill University,01pxwe438,CA,30,48,2017-01-01,2026-06-15
ror:0384j8v12,The University of Sydney,0384j8v12,AU,30,30,2020-03-18,2026-06-03
ror:029brtt94,Université Claude Bernard Lyon 1,029brtt94,FR,29,18,2022-05-05,2026-06-22
ror:02n2fzt79,Boston College,02n2fzt79,US,28,37,2017-05-04,2025-06-24
ror:04dkp9463,University of Amsterdam,04dkp9463,NL,28,41,2018-04-25,2025-09-16
ror:00pdd0432,Centre de Recherche en Neurosciences de Lyon,00pdd0432,FR,27,19,2022-05-05,2026-06-22
ror:01jsq2704,Eötvös Loránd University,01jsq2704,HU,25,23,2016-07-05,2026-06-22
ror:02k40bc56,Indiana University Bloomington,02k40bc56,US,25,29,2014-03-28,2026-05-01
ror:00240q980,University of Padua,00240q980,IT,24,41,2022-05-31,2026-06-15
ror:00p4k0j84,Kyushu University,00p4k0j84,JP,24,27,2019-01-01,2025-01-31
