paper_id,doi,publication_year,author_position,author_name,orcid,institutions,institution_countries,institution_rors
W1524842461,10.7717/peerj.1058,2015,first,Andy Woods,0000-0003-3797-3845,University of Oxford,GB,052gg0110
W1524842461,10.7717/peerj.1058,2015,middle,Carlos Velasco,0000-0002-4864-2315,University of Oxford,GB,052gg0110
W1524842461,10.7717/peerj.1058,2015,middle,Carmel Levitan,0000-0001-5403-444X,Occidental College,US,01mxmpy39
W1524842461,10.7717/peerj.1058,2015,middle,Xiaoang Wan,0000-0001-6731-2904,Tsinghua University,CN,03cve4549
W1524842461,10.7717/peerj.1058,2015,last,Charles Spence,0000-0003-2111-072X,University of Oxford,GB,052gg0110
W1621531000,10.1371/journal.pone.0130834,2015,first,Kristian Lange,0000-0002-2322-896X,Max Planck Institute for Human Development; Max Planck Society,DE; DE,02pp7px91; 01hhn8329
W1621531000,10.1371/journal.pone.0130834,2015,middle,Simone Kühn,0000-0001-6823-7969,Max Planck Institute for Human Development; Max Planck Society,DE; DE,02pp7px91; 01hhn8329
W1621531000,10.1371/journal.pone.0130834,2015,last,Elisa Filevich,0000-0002-1158-8220,Max Planck Institute for Human Development; Max Planck Society,DE; DE,02pp7px91; 01hhn8329
W1978032914,10.3758/s13428-015-0567-2,2015,first,Joshua R. de Leeuw,0000-0003-4815-2364,Indiana University Bloomington,US,02k40bc56
W1978032914,10.3758/s13428-015-0567-2,2015,last,Benjamin Motz,0000-0002-0379-2184,Indiana University Bloomington,US,02k40bc56
W2070332361,10.3758/s13428-014-0530-7,2014,first,Jonathan Barnhoorn,,Leiden University; University of Twente,NL; NL,027bh9e22; 006hf6230
W2070332361,10.3758/s13428-014-0530-7,2014,middle,Erwin Haasnoot,0000-0002-2753-9634,Leiden University; University of Sheffield,NL; GB,027bh9e22; 05krs5044
W2070332361,10.3758/s13428-014-0530-7,2014,middle,Bruno R. Bocanegra,0000-0003-0158-2340,Leiden University,NL,027bh9e22
W2070332361,10.3758/s13428-014-0530-7,2014,last,Henk van Steenbergen,0000-0003-1917-6412,Leiden University; University of Applied Sciences Leiden,NL; NL,027bh9e22; 0093src13
W2101164865,10.3758/s13428-015-0678-9,2015,first,Benjamin E. Hilbig,0000-0002-1470-1882,University of Koblenz and Landau; Max Planck Institute for Research on Collective Goods,DE; DE,01j9f6752; 02x1q2477
W2126493218,10.1146/annurev-clinpsy-021815-093623,2016,first,Jesse Chandler,0000-0001-8151-0915,Mathematica Policy Research,US,02403vr89
W2126493218,10.1146/annurev-clinpsy-021815-093623,2016,last,Danielle N. Shapiro,,University of Michigan; Michigan Medicine,US; US,00jmfr291; 01zcpa714
W2134913981,10.3389/fpsyg.2014.00857,2014,first,Jianhong Shen,0000-0002-8215-7508,,,
W2134913981,10.3389/fpsyg.2014.00857,2014,middle,Michael L. Mack,0000-0001-5155-7413,The University of Texas at Austin,US,00hj54h04
W2134913981,10.3389/fpsyg.2014.00857,2014,last,Thomas J. Palmeri,0000-0001-7617-9797,,,
W2142174299,10.3758/s13428-015-0677-x,2015,first,Henk van Steenbergen,0000-0003-1917-6412,Leiden University; University of Applied Sciences Leiden,NL; NL,027bh9e22; 0093src13
W2142174299,10.3758/s13428-015-0677-x,2015,last,Bruno R. Bocanegra,0000-0003-0158-2340,Leiden University,NL,027bh9e22
W2157731781,10.3758/s13428-015-0660-6,2015,first,Mirko Seithe,,Fraunhofer Institute for Applied Information Technology,DE,01ak24c12
W2157731781,10.3758/s13428-015-0660-6,2015,middle,Jeronim Morina,,Max Planck Institute for Behavioral Economics,DE,02x1q2477
W2157731781,10.3758/s13428-015-0660-6,2015,last,Andreas Glöckner,0000-0002-7766-4791,FernUniversität in Hagen; Max Planck Institute for Behavioral Economics,DE; DE,04tkkr536; 02x1q2477
W2161418887,10.3758/s13428-014-0458-y,2014,first,Joshua R. de Leeuw,0000-0003-4815-2364,Indiana University Bloomington,US,02k40bc56
W2195544861,10.1002/ejsp.2172,2015,first,Sandra Godinho,0000-0002-2284-4373,Iscte – Instituto Universitário de Lisboa,PT,014837179
W2195544861,10.1002/ejsp.2172,2015,last,Margarida V. Garrido,0000-0003-3651-9245,Iscte – Instituto Universitário de Lisboa,PT,014837179
W2200929222,,2015,first,Josh de Leeuw,,Indiana University,US,01kg8sb98
W2256780477,10.3758/s13428-015-0641-9,2015,first,Nina Strohminger,0000-0002-9239-6561,Duke University,US,00py81415
W2256780477,10.3758/s13428-015-0641-9,2015,middle,Kurt Gray,0000-0001-5816-2676,University of North Carolina at Chapel Hill,US,0130frc33
W2256780477,10.3758/s13428-015-0641-9,2015,middle,Vladimir Chituc,0000-0002-5316-6245,Duke University,US,00py81415
W2256780477,10.3758/s13428-015-0641-9,2015,middle,Joseph Heffner,0000-0001-6757-3397,Duke University,US,00py81415
W2256780477,10.3758/s13428-015-0641-9,2015,middle,Chelsea Schein,0000-0003-3846-0400,University of North Carolina at Chapel Hill,US,0130frc33
W2256780477,10.3758/s13428-015-0641-9,2015,last,Titus Brooks Heagins,,,,
W2322940545,10.3758/s13414-015-1054-7,2016,first,Krista A. Ehinger,0000-0003-2247-3020,Brigham and Women's Hospital; Harvard University; Center for Pain and the Brain,US; US; US,04b6nzv94; 03vek6s52; 04zxw0v05
W2322940545,10.3758/s13414-015-1054-7,2016,middle,Kala Allen,,Miami University,US,05nbqxr67
W2322940545,10.3758/s13414-015-1054-7,2016,last,Jeremy M. Wolfe,0000-0002-6475-1984,Brigham and Women's Hospital; Harvard University; Center for Pain and the Brain,US; US; US,04b6nzv94; 03vek6s52; 04zxw0v05
W2335332271,10.1186/s12859-016-0993-x,2016,first,Miguel A. Vadillo,0000-0001-8421-816X,King's College London; University College London; Bedford College,GB; GB; GB,0220mzb33; 02jx3x895; 01aa0nz04
W2335332271,10.1186/s12859-016-0993-x,2016,last,Pablo Garaizar,0000-0001-8160-9130,Universidad de Deusto,ES,00ne6sr39
W2343857668,10.3389/fpsyg.2016.00610,2016,first,Vanessa Sochat,0000-0002-4387-3819,Stanford University,US,00f54p054
W2343857668,10.3389/fpsyg.2016.00610,2016,middle,Ian W. Eisenberg,,Stanford University,US,00f54p054
W2343857668,10.3389/fpsyg.2016.00610,2016,middle,A. Zeynep Enkavi,0000-0001-7040-3620,Stanford University,US,00f54p054
W2343857668,10.3389/fpsyg.2016.00610,2016,middle,Jamie Li,0000-0002-8551-8583,Stanford University,US,00f54p054
W2343857668,10.3389/fpsyg.2016.00610,2016,middle,Patrick G. Bissett,0000-0003-0854-9404,Stanford University,US,00f54p054
W2343857668,10.3389/fpsyg.2016.00610,2016,last,Russell A. Poldrack,0000-0001-6755-0259,Stanford University,US,00f54p054
