id,doi,title,venue,publication_year,publication_date,type,cited_by_count,cited_2015,cited_joss,fulltext_openalex,fulltext_epmc,first_author,n_authors,date_added,notes,exclude
W7168165578,10.3758/s13423-026-02953-0,Immediate creation of spelling expectations during explicit versus implicit auditory word learning,Psychonomic Bulletin & Review,2026,2026-07-13,article,0,True,False,False,False,Mina Jevtović,3,2026-07-15,,False
W7168181743,10.5281/zenodo.21333934,"Reproducibility package: Forgotten but Not Erased — Latent Memory and Surprise in Cultural Revival (yoshida_019, v1)",Zenodo (CERN European Organization for Nuclear Research),2026,2026-07-13,software,0,False,False,True,False,Takehiko Yoshida,1,2026-07-15,,False
W7168162674,10.5281/zenodo.21333933,"Reproducibility package: Forgotten but Not Erased — Latent Memory and Surprise in Cultural Revival (yoshida_019, v1)",Zenodo (CERN European Organization for Nuclear Research),2026,2026-07-13,software,0,False,False,True,False,Takehiko Yoshida,1,2026-07-15,,False
W7168179323,10.3758/s13414-026-03300-0,Understanding Navon: Different designs of local-global tasks capture different bias effects,Attention Perception & Psychophysics,2026,2026-07-13,article,0,False,True,False,False,Felix Schweigkofler,5,2026-07-15,,False
W7167840317,10.1002/eat.70170,Algorithm‐Defined Muscle Dysmorphia Estimates Across Weighting and Case‐Definition Strategies in a Gender‐Balanced Adult Online Sample,International Journal of Eating Disorders,2026,2026-07-09,article,0,False,True,False,False,Christopher Zaiser,5,2026-07-15,,False
W7167492741,10.7554/elife.111380.1.sa2,eLife Assessment: Noise in Competing Representations Determines the Direction of Memory Biases,,2026,2026-07-06,peer-review,0,False,False,True,False,Sukbin Lim,1,2026-07-15,,False
W7167475023,10.3758/s13428-026-03081-2,QualGames: A Qualtrics implementation and a database of behavioral game theory tasks,Behavior Research Methods,2026,2026-07-06,article,0,False,True,False,False,Shengchuang Feng,17,2026-07-15,,False
W7167786353,10.17863/cam.132024,QualGames: A Qualtrics implementation and a database of behavioral game theory tasks.,Apollo (University of Cambridge),2026,2026-07-06,article,0,False,False,True,False,Shengchuang Feng,18,2026-07-15,,False
W7167455758,10.7554/elife.111380.1.sa1,Reviewer #1 (Public review): Noise in Competing Representations Determines the Direction of Memory Biases,,2026,2026-07-06,peer-review,0,False,False,True,False,Andrey Chetverikov,2,2026-07-15,,False
W7167505016,10.7554/elife.111380.1.sa0,Reviewer #2 (Public review): Noise in Competing Representations Determines the Direction of Memory Biases,,2026,2026-07-06,peer-review,0,False,False,True,False,Andrey Chetverikov,2,2026-07-15,,False
W7167260463,10.1002/jclp.70175,Exploring Reasoning Biases Associated With Psychosis in Borderline Personality Disorder Using Self‐Report and Objective Measures,Journal of Clinical Psychology,2026,2026-07-03,article,0,True,False,False,False,Shreyas Krishnakumar,2,2026-07-15,,False
W7167039542,10.18710/gkboqc/0scvku,jsPsych-Webgazer experiment code.zip,,2026,2026-07-02,dataset,0,False,False,True,False,Myrte Vos,1,2026-07-15,,False
W7167387391,,Materials,OSF Preprints (OSF Preprints),2026,2026-07-02,preprint,0,False,False,True,False,Yoann Julliard,6,2026-07-15,,False
W7167382523,,Materials,OSF Preprints (OSF Preprints),2026,2026-07-02,preprint,0,False,False,True,False,Yoann Julliard,4,2026-07-15,,False
W7167398380,,Materials,OSF Preprints (OSF Preprints),2026,2026-07-02,preprint,0,False,False,True,False,Dominique Muller,5,2026-07-15,,False
W7167397542,,Materials,OSF Preprints (OSF Preprints),2026,2026-07-02,preprint,0,False,False,True,False,Dominique Muller,4,2026-07-15,,False
W7166489861,,"The Topology of Grammar: Hierarchical Inversion, Numerical Magnitude, and a Shared Attentional Resource for Syntactic and Numerical Indexing A Registered Report",PsyArXiv (OSF Preprints),2026,2026-07-02,preprint,0,False,False,True,False,Sayantan Mandal,2,2026-07-15,,False
W7167794015,10.1177/25152459261454231,"Artificial-Intelligence-Mediated Contamination in Online Research: Taxonomy, Risk Gradient, and Recommendations",Advances in Methods and Practices in Psychological Science,2026,2026-07-01,article,1,False,True,False,False,Zhicheng Lin,1,2026-07-15,,False
W7166803437,10.1016/j.rmal.2026.100340,Toward more rigorous and transparent online experimentation in applied linguistics: An introduction to the special issue,Research Methods in Applied Linguistics,2026,2026-07-01,article,0,True,False,False,False,John Rogers,2,2026-07-15,,False
W7166649273,10.1016/j.actpsy.2026.107366,Automatic imitation towards robots is not influenced by the intentional stance,Acta Psychologica,2026,2026-06-30,article,0,False,True,False,False,Carl Michael Galang,3,2026-07-15,,False
W7166837043,10.17605/osf.io/zqpnm,Experiment front-ends,Open MIND,2026,2026-06-30,article,0,False,False,True,False,Maël Delem,1,2026-07-15,,False
W7166505066,10.1371/journal.pcbi.1014459,Delayed reward information is underweighted in reinforcement learning with dispersed feedback,PLoS Computational Biology,2026,2026-06-29,article,0,True,False,True,False,Miruna Cotet,3,2026-07-15,,False
W4411641310,10.1038/s41593-026-02342-9,Interpretable abstractions of artificial neural networks predict behavior and neural activity during human information gathering,Nature Neuroscience,2026,2026-06-26,preprint,0,False,False,True,False,Simone D’Ambrogio,6,2026-07-15,,False
W7166837499,10.31234/osf.io/dztvp_v1,"The Topology of Grammar: Hierarchical Inversion, Numerical Magnitude, and a Shared Attentional Resource for Syntactic and Numerical Indexing A Registered Report",,2026,2026-06-26,article,0,False,False,True,True,Rakesh Sengupta,2,2026-07-15,,False
W7165961966,10.5281/zenodo.20846166,jsPsych: Enabling an Open-Source Collaborative Ecosystem of Behavioral Experiments,Zenodo (CERN European Organization for Nuclear Research),2026,2026-06-25,software,0,False,False,True,False,"Leeuw, Joshua R.",3,2026-07-15,,False
W7165903786,10.5281/zenodo.20846167,jsPsych: Enabling an Open-Source Collaborative Ecosystem of Behavioral Experiments,Zenodo (CERN European Organization for Nuclear Research),2026,2026-06-25,software,0,False,False,True,False,"Leeuw, Joshua R.",3,2026-07-15,,False
